ID,LINK DOCUMENTI ESTRATTI
29,"https://www.agenziaentrate.gov.it/portale/documents/20143/8418262/Risposta+n.+15_2025.pdf/7599ab04-11d9-6832-3bd0-f78d62f85b26?t=1738074407753
https://www.agenziaentrate.gov.it/portale/documents/20143/8902784/Risposta+n.+107_2025.pdf/e1e7067b-5b28-fea0-7324-64e4361883b3?t=1744795607969
https://www.agenziaentrate.gov.it/portale/documents/20143/8473268/Risposta+n.+26_2025.pdf/181e81d3-1d97-fe3a-d02e-b968e42600e3?t=1739357897743"
30,"https://www.agenziaentrate.gov.it/portale/documents/20143/8418262/Risposta+n.+15_2025.pdf/7599ab04-11d9-6832-3bd0-f78d62f85b26?t=1738074407753
https://www.agenziaentrate.gov.it/portale/documents/20143/8473268/Risposta+n.+26_2025.pdf/181e81d3-1d97-fe3a-d02e-b968e42600e3?t=1739357897743
https://www.agenziaentrate.gov.it/portale/documents/20143/8902784/Risposta+n.+106_2025.pdf/119131ff-295d-3d74-96c3-06b5b4201126?t=1744795613764"
31,"https://www.agenziaentrate.gov.it/portale/documents/20143/8418262/Risposta+n.+15_2025.pdf/7599ab04-11d9-6832-3bd0-f78d62f85b26?t=1738074407753
https://www.agenziaentrate.gov.it/portale/documents/20143/8473268/Risposta+n.+26_2025.pdf/181e81d3-1d97-fe3a-d02e-b968e42600e3?t=1739357897743
https://www.agenziaentrate.gov.it/portale/documents/20143/8902784/Risposta+n.+106_2025.pdf/119131ff-295d-3d74-96c3-06b5b4201126?t=1744795613764"
32,"https://www.agenziaentrate.gov.it/portale/documents/20143/8902784/Risposta+n.+122_2025.pdf/0ce3af55-2f9a-be45-18b8-9b6ad8d239bc?t=1745919497723
https://www.agenziaentrate.gov.it/portale/documents/20143/2624559/Circolare+n.+24+del+8+agosto+2020.pdf/53b2ee8b-88bc-09c0-c95f-0bb6dbd16c77?t=1597068593518
https://www.agenziaentrate.gov.it/portale/documents/20143/5329166/Circolare+Superbonus+n.+13++del+13+giugno+2013.pdf/6185d591-960a-5be2-06ce-fe8f0a6397fb?t=1686661310888"
33,"https://www.agenziaentrate.gov.it/portale/documents/20143/4629422/Risposta+all%27interpello+n.+403+del+2+agosto+2022.pdf/e1e243b8-a7c7-4e49-40be-18cd434fb33b?t=1659428202372
https://www.agenziaentrate.gov.it/portale/documents/20143/299195/Circolare+18+29052013_circolare+18e.pdf/1dbba825-b823-f5a9-45eb-9b5b48496d0f?t=1383229026310"
34,"https://www.agenziaentrate.gov.it/portale/documents/20143/2570162/CIRCOLARE+19.pdf/9a1a4c49-7431-74f7-cb7b-b3eaa1d64a16?t=1594207612040#page=76
https://www.agenziaentrate.gov.it/portale/documents/20143/297154/CIRCOLARE+N+13+CORRETTA+SENZA+INDIRIZZI.pdf/de75ad4c-ab90-4535-13fe-1f018dacf92a?t=1560326909411#page=73
https://www.agenziaentrate.gov.it/portale/documents/20143/297154/CIRCOLARE+N+13+CORRETTA+SENZA+INDIRIZZI.pdf/de75ad4c-ab90-4535-13fe-1f018dacf92a?t=1560326909411#page=77"
35,"https://www.agenziaentrate.gov.it/portale/documents/20143/6101200/circolare+locazioni+brevi+.+10+del+10+maggio++2024.pdf/6b3c5a29-9158-959b-91fb-8cdab88367eb?t=1715326595082
https://www.agenziaentrate.gov.it/portale/documents/20143/297757/Circolare+n.+24+del+12+10+2017_Circolare%2Bn.%2B24%2Bdel%2B12-10-2017.pdf/17455858-2b8c-dc1c-0c0a-fab3c296d1b6?t=1508162356751
https://www.agenziaentrate.gov.it/portale/documents/20143/1794787/Risposta%2Bn.%2B373_2019.pdf/fcc4c875-7194-db30-f678-6782ad6be2e3?t=1568128258125"
36,"https://www.agenziaentrate.gov.it/portale/documents/20143/6458344/Risposta+n.+208_2024.pdf/926bc347-8474-2da1-22a3-11da0b564584?t=1729673324520
https://www.agenziaentrate.gov.it/portale/documents/20143/6241342/Risposta+n.+156_2024.pdf/d96415d9-7458-02bf-ba79-516aa4d1cdd5?t=1721117150798
https://www.agenziaentrate.gov.it/portale/documents/20143/6193294/Circolare+plusvalenze+superbonus+n.+13+del+13+giugno+2024_.pdf/6aea10c1-d402-3204-eb3e-b8a64422a43d?t=1718289879388"
37,"https://www.agenziaentrate.gov.it/portale/documents/20143/4419702/Circolare+Ricercatori+17_2022.pdf/6e80514e-dbdf-1e12-ac0e-7d7bc6a34a4f?t=1653477721132
https://www.agenziaentrate.gov.it/portale/documents/20143/297873/Circolare+n.+17+del+23+maggio+2017_CIRCOLARE+REGIMI+AGEVOLATIVI+PER+PERSONE+FISICHE+CHE+TRASFERISCONO+LA+RESIDENZA+FISCALE+IN+ITALIA+-REGISTRO+CIRCOLARI.0000017.23-05-2017-U+%282%29.pdf/8c361223-0cf1-b41b-be4a-db33664d5855?t=1497872005315"
38,https://www.agenziaentrate.gov.it/portale/documents/20143/5329166/Circolare+caf+2023+parte+seconda+19.06.23.pdf/6d0a9926-9d83-81df-0026-15784cb2c2e8?t=1687194355672 
